order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,hub_name,zone,hub_type,capacity_score,complaint_count,total_compensation,avg_resolution_days,incident_count,avg_resolved_hours,is_failed,has_complaint,has_incident,cost_per_km,high_risk_delivery
O00015,C0300,Business,2025-11-09 03:04:00,6,South,East,High,145.58,Web,0,DL00804,D052,V097,H03,2025-11-09 05:43:00,2025-11-09 09:20:46.099682,OnTime,9.3,1.0,0.0,3.94,9.13,37,Central,Consumer,2025-03-14 08:54:00,65.2,36.6,App,Active,East Dock,East,Warehouse,74.0,0.0,0.0,,2.0,12.049999999999999,0,0,1,0.9817204301075269,1
O00016,C0022,Parcel,2025-07-29 11:51:00,6,Central,Ctr,Medium,92.66,App,0,DL00660,D008,V001,H02,2025-07-29 13:52:00,2025-07-29 17:01:03.042495,OnTime,16.1,2.0,0.0,3.36,14.03,71,Riverside,Consumer,2024-07-29 15:43:00,62.2,58.9,App,Active,South Link,South,Dispatch,78.0,0.0,0.0,,0.0,,0,0,0,0.8714285714285713,0
O00017,C0499,Parcel,2025-05-27 09:12:00,24,Airport,South,Low,60.9,App,0,DL00672,D108,V030,H02,2025-05-27 11:38:00,2025-05-28 08:21:51.612170,OnTime,35.33,5.0,0.0,4.94,19.77,40,Ctr,Consumer,2025-10-13 12:05:00,55.9,74.5,App,Active,South Link,South,Dispatch,78.0,0.0,0.0,,1.0,8.2,0,0,1,0.5595810925559015,1
O00018,C0506,Passenger,2024-03-08 22:19:00,6,North,Riverside,High,121.11,Phone,0,DL00902,D015,V047,H06,2024-03-08 23:03:00,2024-03-09 02:59:39.833152,OnTime,17.27,0.0,0.0,5.0,12.37,19,Airport,Enterprise,2025-06-14 05:24:00,56.3,62.0,App,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,0.0,,0,0,0,0.7162709901563404,0
O00019,C0425,Passenger,2024-03-31 07:18:00,6,North,Central,Low,56.26,Phone,0,DL00109,D014,V083,H05,2024-03-31 09:02:00,2024-03-31 12:20:28.945640,OnTime,16.7,1.0,0.0,3.52,16.91,55,Riverside,Consumer,2024-12-01 10:29:00,66.3,76.1,App,Dormant,Central Core,Central,Control,88.0,0.0,0.0,,0.0,,0,0,0,1.0125748502994012,0
O00020,C0249,Retail,2024-05-09 22:25:00,2,West,Airport,Medium,100.78,App,0,DL00752,D069,V013,H01,2024-05-09 23:04:00,2024-05-09 22:49:00.000000,OnTime,12.27,1.0,0.0,4.33,8.63,26,West,Consumer,2025-01-20 14:35:00,36.7,51.8,Phone,Dormant,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,0.7033414832925836,0
O00021,C0218,Passenger,2024-10-16 11:25:00,2,West,North,Medium,49.99,Web,0,DL00141,D166,V094,H04,2024-10-16 12:41:00,2024-10-16 12:59:34.243920,OnTime,10.45,1.0,0.0,4.77,7.89,32,Central,Consumer,2024-10-15 19:15:00,62.2,11.4,App,Active,West Gate,West,Dispatch,69.0,0.0,0.0,,0.0,,0,0,0,0.7550239234449762,0
O00022,C0594,Retail,2025-04-20 20:56:00,12,Riverside,Central,Medium,134.88,Phone,0,DL00691,D055,V091,H01,2025-04-20 21:40:00,2025-04-21 17:33:54.635329,Delayed,4.45,0.0,0.0,4.36,13.49,70,East,Consumer,2025-10-20 16:41:00,97.4,22.5,Web,Active,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,3.0314606741573034,0
O00023,C0077,Passenger,2025-10-05 04:59:00,4,North,North,Medium,122.25,App,0,DL00831,D133,V053,H08,2025-10-05 05:51:00,2025-10-06 04:17:27.447541,Failed,15.56,0.0,1.0,2.38,10.87,59,North,SME,2024-07-31 19:24:00,61.7,29.0,Web,Active,Midtown Relay,Central,Charging,63.0,1.0,0.0,7.0,0.0,,1,1,0,0.698586118251928,1
O00024,C0397,Passenger,2024-10-10 05:01:00,6,South,Riverside,High,132.2,App,1,DL00724,D003,V042,H01,2024-10-10 07:43:00,2024-10-10 10:21:10.389885,OnTime,17.9,0.0,0.0,4.76,14.39,33,West,Consumer,2024-01-03 02:17:00,51.3,34.6,Web,Suspended,North Exchange,North,Dispatch,82.0,0.0,0.0,,1.0,18.7,0,0,1,0.8039106145251398,1
O00025,C0297,Passenger,2025-01-10 21:51:00,6,North,Riverside,Critical,66.51,App,0,DL00204,D108,V062,H08,2025-01-10 22:15:00,2025-01-11 05:19:27.680020,OnTime,11.32,1.0,0.0,4.64,15.67,72,West,Consumer,2024-10-23 08:23:00,42.6,80.8,Partner API,Active,Midtown Relay,Central,Charging,63.0,0.0,0.0,,0.0,,0,0,0,1.3842756183745584,0
O00026,C0193,Parcel,2025-11-10 22:22:00,24,East,West,High,51.09,App,0,,,,,,,,,,,,,20,South,Consumer,2024-02-14 16:45:00,84.0,62.1,App,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00027,C0024,Parcel,2025-02-26 00:42:00,4,Riverside,North,Medium,96.62,App,0,DL00700,D099,V115,H06,2025-02-26 02:22:00,2025-02-26 06:50:34.860335,OnTime,8.6,1.0,0.0,5.0,9.3,66,West,Consumer,2024-11-17 14:37:00,55.3,44.5,App,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,0.0,,0,0,0,1.0813953488372094,0
O00028,C0160,Retail,2025-12-21 22:29:00,4,North,South,High,59.44,App,0,,,,,,,,,,,,,57,South,Consumer,2024-11-06 03:57:00,62.8,80.2,Phone,Suspended,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00029,C0366,Medical,2024-09-11 12:22:00,24,East,Ctr,Medium,190.94,Web,0,DL00006,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0.0,0.0,1.57,9.58,70,South,Consumer,2025-12-22 20:19:00,,51.2,Phone,Dormant,East Dock,East,Warehouse,74.0,0.0,0.0,,0.0,,0,0,0,0.6921965317919075,0
O00030,C0406,Medical,2025-10-05 03:11:00,12,North,East,Low,44.84,App,0,DL00268,D008,V056,H02,2025-10-05 03:47:00,,OnTime,8.7,1.0,0.0,3.88,15.46,75,North,Consumer,2025-04-30 00:40:00,57.7,51.7,App,Active,South Link,South,Dispatch,78.0,0.0,0.0,,0.0,,0,0,0,1.7770114942528739,0
O00031,C0573,Passenger,2024-10-25 03:17:00,24,East,Airport,Medium,55.14,App,0,DL00862,D165,V037,H01,2024-10-25 04:57:00,2024-10-26 09:32:20.877141,Failed,8.4,1.0,0.0,1.41,9.28,47,Airport,SME,2025-02-27 18:19:00,57.3,74.4,App,Active,North Exchange,North,Dispatch,82.0,2.0,78.33,7.0,0.0,,1,1,0,1.1047619047619046,1
O00032,C0297,Passenger,2025-09-15 23:14:00,1,Central,East,Medium,126.43,App,1,DL00193,D017,V013,H08,2025-09-16 00:28:00,2025-09-15 23:38:00.000000,OnTime,14.01,4.0,0.0,3.54,9.08,72,West,Consumer,2024-10-23 08:23:00,42.6,80.8,Partner API,Active,Midtown Relay,Central,Charging,63.0,0.0,0.0,,0.0,,0,0,0,0.648108493932905,0
O00033,C0471,Retail,2025-12-30 21:02:00,6,North,East,Low,36.7,Phone,1,DL00792,D106,V094,H08,2025-12-30 21:39:00,2025-12-31 14:37:51.118085,Failed,14.69,1.0,0.0,3.2,16.8,42,North,Consumer,2025-05-10 02:26:00,59.9,28.0,App,Dormant,Midtown Relay,Central,Charging,63.0,0.0,0.0,,0.0,,1,0,0,1.143635125936011,1
O00034,C0023,Retail,2025-02-18 01:38:00,2,North,South,Low,40.88,App,0,,,,,,,,,,,,,52,South,Consumer,2025-06-28 13:49:00,73.1,45.2,Web,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00035,C0524,Business,2024-06-14 13:12:00,4,North,Central,Medium,209.07,Web,0,DL00492,D100,V108,H06,2024-06-14 15:50:00,2024-06-15 05:51:47.019652,Failed,9.55,0.0,0.0,1.99,9.2,67,Riverside,Consumer,2025-01-02 13:23:00,49.7,70.2,Phone,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,0.0,,1,0,0,0.963350785340314,1
O00036,C0126,Parcel,2024-11-06 04:24:00,4,Riverside,North,Medium,73.14,App,0,DL00483,D135,V017,H06,2024-11-06 05:51:00,2024-11-06 11:52:01.051436,Delayed,8.41,0.0,1.0,4.57,9.29,42,North,Consumer,2024-05-22 13:55:00,64.5,39.0,App,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,0.0,,0,0,0,1.1046373365041615,0
O00037,C0015,Retail,2024-02-10 17:19:00,24,East,Airport,Low,119.31,Phone,0,,,,,,,,,,,,,37,South,SME,2024-05-27 17:07:00,54.5,52.8,Phone,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00038,C0142,Retail,2025-10-06 20:11:00,2,Riverside,East,Medium,168.48,Phone,0,DL00869,D118,V119,H05,2025-10-06 20:46:00,2025-10-06 21:44:16.662558,OnTime,9.15,2.0,0.0,5.0,10.32,29,South,Consumer,2024-11-29 21:33:00,47.0,61.7,App,Active,Central Core,Central,Control,88.0,0.0,0.0,,0.0,,0,0,0,1.1278688524590164,0
O00039,C0351,Parcel,2025-08-01 07:36:00,6,East,Riverside,Low,54.85,Web,1,DL00106,D040,V015,H05,2025-08-01 08:30:00,2025-08-01 12:18:45.005907,OnTime,18.02,0.0,0.0,4.92,15.57,66,Central,Enterprise,2024-02-10 00:50:00,48.6,49.9,App,Active,Central Core,Central,Control,88.0,0.0,0.0,,0.0,,0,0,0,0.8640399556048834,0
O00040,C0014,Parcel,2025-05-24 22:33:00,1,North,Airport,Low,74.65,App,0,,,,,,,,,,,,,62,North,Consumer,2024-05-16 09:26:00,94.1,81.0,App,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00041,C0243,Retail,2024-09-17 13:42:00,12,Riverside,West,Low,19.15,App,0,,,,,,,,,,,,,31,Riverside,Consumer,2025-06-20 16:36:00,63.0,85.8,Phone,Suspended,,,,,1.0,6.59,1.0,0.0,,0,1,0,,1
O00042,C0606,Retail,2025-12-01 18:22:00,24,Riverside,Ctr,Medium,133.72,Phone,1,DL00472,D113,V046,H01,2025-12-01 19:10:00,2025-12-03 08:16:03.110618,Delayed,10.28,0.0,0.0,3.59,5.13,68,South,Consumer,2024-05-06 10:57:00,64.3,56.9,App,Active,North Exchange,North,Dispatch,82.0,0.0,0.0,,1.0,6.5,0,0,1,0.4990272373540856,1
O00043,C0416,Retail,2024-01-01 03:53:00,12,East,Riverside,Medium,48.59,API,0,DL00765,D126,V023,H06,2024-01-01 06:03:00,2024-01-01 15:35:48.325916,OnTime,16.23,1.0,0.0,4.81,15.76,34,South,Consumer,2024-10-09 09:00:00,66.0,16.7,Web,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,1.0,3.1,0,0,1,0.9710412815773259,1
O00044,C0227,Business,2025-11-02 09:57:00,4,West,Riverside,Medium,61.45,Phone,1,DL00403,D131,V092,H07,2025-11-02 10:07:00,2025-11-02 12:43:42.885570,OnTime,11.6,1.0,0.0,4.58,13.74,69,West,Consumer,2025-05-01 08:32:00,62.2,67.9,App,Active,Riverside Hub,Riverside,Warehouse,66.0,0.0,0.0,,1.0,,0,0,1,1.1844827586206896,1
O00045,C0326,Parcel,2024-02-13 18:38:00,6,South,Airport,Critical,56.64,,0,DL00110,D024,V042,H03,2024-02-13 21:24:00,2024-02-14 01:15:37.449725,OnTime,14.39,1.0,0.0,4.74,8.64,60,West,Consumer,2024-04-02 05:21:00,64.6,47.3,,Active,East Dock,East,Warehouse,74.0,1.0,11.17,3.0,0.0,,0,1,0,0.600416956219597,1
O00046,C0538,Parcel,2025-12-13 01:15:00,4,North,Central,High,85.48,App,0,,,,,,,,,,,,,28,Central,Enterprise,2024-09-15 05:20:00,84.5,44.3,App,Dormant,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00047,C0220,Medical,2025-11-28 03:02:00,2,West,North,Medium,39.57,App,0,DL00923,D071,V012,H03,2025-11-28 04:59:00,2025-11-28 05:50:08.491873,OnTime,19.03,0.0,0.0,4.7,16.28,47,South,SME,2025-04-15 05:10:00,44.8,64.0,Web,Dormant,East Dock,East,Warehouse,74.0,0.0,0.0,,0.0,,0,0,0,0.8554913294797688,0
O00048,C0145,Medical,2024-11-22 06:49:00,4,Riverside,North,Low,43.37,App,0,,,,,,,,,,,,,34,Airport,Consumer,2024-09-11 06:17:00,99.0,30.6,,Active,,,,,1.0,61.85,12.0,0.0,,0,1,0,,1
O00049,C0380,Passenger,2024-12-19 23:58:00,2,West,South,Low,66.46,Phone,1,,,,,,,,,,,,,24,Central,SME,2024-10-29 03:39:00,32.6,61.2,Web,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00050,C0544,Passenger,2024-03-29 13:44:00,1,North,Ctr,Low,33.93,App,0,,,,,,,,,,,,,72,North,Consumer,2025-01-16 01:12:00,52.1,44.0,App,Active,,,,,1.0,38.9,15.0,0.0,,0,1,0,,1
O00051,C0185,Business,2025-02-07 23:39:00,12,Airport,East,Critical,14.48,Web,1,,,,,,,,,,,,,40,South,Consumer,2025-12-05 05:27:00,77.5,76.4,Phone,Suspended,,,,,1.0,7.09,7.0,0.0,,0,1,0,,1
O00052,C0150,Retail,2024-08-14 08:33:00,12,North,Riverside,Medium,293.65,API,0,DL00239,D019,V010,H06,2024-08-14 09:02:00,2024-08-15 01:09:18.015871,Delayed,13.6,1.0,0.0,3.72,16.0,58,North,Consumer,2025-06-08 06:44:00,88.8,60.9,App,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,2.0,16.950000000000003,0,0,1,1.1764705882352942,1
O00053,C0054,Parcel,2024-04-02 11:27:00,24,East,East,Low,73.56,App,0,,,,,,,,,,,,,75,West,Consumer,2025-12-24 13:22:00,42.4,26.8,Web,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00054,C0478,Medical,2025-03-29 10:44:00,4,North,North,Low,54.41,Web,0,DL00020,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0.0,0.0,4.15,12.61,43,North,Consumer,2024-02-22 09:47:00,43.6,52.4,App,Active,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,0.5187165775401069,0
O00055,C0454,Retail,2025-05-30 23:44:00,2,Airport,Riverside,Medium,73.7,App,0,DL00445,D074,V008,H03,2025-05-31 02:19:00,2025-05-31 06:24:33.541055,Delayed,37.02,0.0,0.0,3.55,21.88,28,South,Consumer,2024-10-27 07:07:00,62.2,63.6,App,Active,East Dock,East,Warehouse,74.0,1.0,12.97,7.0,0.0,,0,1,0,0.5910318746623446,1
O00056,C0271,Parcel,2025-10-05 20:28:00,4,South,Central,High,160.35,Web,0,DL00225,D150,V044,H05,2025-10-05 20:44:00,2025-10-06 00:53:02.095072,OnTime,6.21,2.0,0.0,3.98,14.94,66,East,Consumer,2025-12-09 06:43:00,65.1,15.5,Web,Active,Central Core,Central,Control,88.0,1.0,10.06,1.0,1.0,,0,1,1,2.4057971014492754,1
O00057,C0226,Business,2025-06-04 01:43:00,4,East,North,Medium,194.03,App,0,,,,,,,,,,,,,74,West,Consumer,2024-12-09 12:05:00,47.2,48.0,Web,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00058,C0083,Passenger,2025-12-16 06:27:00,2,South,East,Critical,51.95,Web,0,DL00146,D052,V094,H03,2025-12-16 06:56:00,2025-12-16 09:52:51.274465,OnTime,22.04,0.0,0.0,4.37,6.16,28,West,Consumer,2024-05-27 03:47:00,71.1,51.7,App,Dormant,East Dock,East,Warehouse,74.0,0.0,0.0,,0.0,,0,0,0,0.279491833030853,0
O00059,C0640,Passenger,2025-11-20 16:54:00,2,Central,Airport,Medium,20.32,Web,0,DL00286,D038,V047,H05,2025-11-20 19:24:00,,Delayed,13.74,0.0,1.0,3.32,7.06,55,North,SME,2025-10-11 02:52:00,50.8,65.6,Web,Dormant,Central Core,Central,Control,88.0,0.0,0.0,,0.0,,0,0,0,0.5138282387190684,0
O00060,C0258,Medical,2024-05-10 15:48:00,6,North,East,Critical,37.52,Web,0,DL00328,D009,V072,H02,2024-05-10 18:12:00,2024-05-10 23:00:20.975877,OnTime,4.02,1.0,0.0,3.26,8.95,50,Riverside,Consumer,2024-03-17 08:15:00,71.4,63.1,Partner API,Active,South Link,South,Dispatch,78.0,0.0,0.0,,0.0,,0,0,0,2.22636815920398,0
O00061,C0289,Passenger,2024-07-12 01:44:00,6,Airport,North,High,238.9,Web,1,DL00155,D048,V052,H02,2024-07-12 03:31:00,2024-07-12 08:43:58.748726,OnTime,24.74,1.0,0.0,4.46,18.46,19,North,SME,2024-06-11 00:31:00,75.8,77.3,App,Active,South Link,South,Dispatch,78.0,0.0,0.0,,0.0,,0,0,0,0.7461600646725951,0
O00062,C0177,Passenger,2025-07-26 08:11:00,4,West,Airport,Medium,45.44,Web,0,,,,,,,,,,,,,39,East,Consumer,2024-09-28 08:02:00,67.0,43.4,App,Suspended,,,,,1.0,61.45,11.0,0.0,,0,1,0,,1
O00063,C0168,Retail,2025-07-13 05:49:00,12,South,Airport,Low,57.56,App,0,DL00580,D026,V066,H04,2025-07-13 06:28:00,2025-07-13 16:43:18.243380,OnTime,15.1,1.0,0.0,4.99,17.2,70,Riverside,Consumer,2025-02-17 10:26:00,54.3,69.4,Web,Active,West Gate,West,Dispatch,69.0,0.0,0.0,,0.0,,0,0,0,1.1390728476821192,0
O00064,C0346,Business,2025-10-14 07:34:00,12,Central,Riverside,High,45.43,App,0,DL00583,D015,V098,H01,2025-10-14 08:48:00,2025-10-14 21:55:17.220317,OnTime,14.6,1.0,0.0,4.53,6.16,46,Airport,Consumer,2024-09-11 03:14:00,62.9,98.5,App,Dormant,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,0.4219178082191781,0
O00065,C0285,Parcel,2024-09-23 07:03:00,4,South,West,High,61.59,App,0,,,,,,,,,,,,,45,Riverside,Consumer,2025-10-08 16:17:00,27.9,18.0,Phone,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00066,C0421,Passenger,2024-06-21 11:22:00,4,South,East,Low,237.58,App,0,DL00164,D045,V120,H03,2024-06-21 11:36:00,2024-06-21 14:46:30.898358,OnTime,17.31,0.0,0.0,3.9,17.53,34,Central,Consumer,2025-03-16 15:08:00,59.0,51.4,App,Active,East Dock,East,Warehouse,74.0,0.0,0.0,,0.0,,0,0,0,1.0127094165222417,0
O00067,C0339,Passenger,2025-02-25 02:12:00,6,West,West,Critical,131.1,Web,0,DL00474,D004,V017,H04,2025-02-25 03:48:00,2025-02-25 07:16:13.969650,OnTime,2.66,0.0,0.0,4.36,9.21,27,South,Consumer,2025-02-13 20:28:00,46.6,66.6,App,Active,West Gate,West,Dispatch,69.0,0.0,0.0,,1.0,4.3,0,0,1,3.462406015037594,1
O00068,C0084,Parcel,2025-10-13 09:08:00,2,Riverside,East,Medium,40.58,App,0,DL00540,D008,V072,H04,2025-10-13 12:06:00,2025-10-13 15:29:29.316851,Delayed,16.2,2.0,0.0,3.21,16.04,33,Airport,Consumer,2024-12-16 23:16:00,55.8,61.9,Web,Active,West Gate,West,Dispatch,69.0,0.0,0.0,,0.0,,0,0,0,0.9901234567901235,0
O00069,C0369,Passenger,2024-05-19 21:45:00,12,Airport,Riverside,Medium,103.29,Phone,1,DL00351,D142,V050,H07,2024-05-19 21:58:00,2024-05-20 09:27:10.018280,OnTime,33.129999999999995,0.0,0.0,4.53,22.56,42,West,Consumer,2025-03-06 02:16:00,47.6,40.7,App,Active,Riverside Hub,Riverside,Warehouse,66.0,0.0,0.0,,0.0,,0,0,0,0.6809538182915786,0
O00070,C0125,Retail,2025-05-13 21:30:00,4,Ctr,Airport,Low,165.63,App,0,DL00378,D111,V037,H02,2025-05-13 23:09:00,2025-05-14 15:42:14.054302,Failed,7.92,0.0,0.0,2.14,7.93,31,Airport,Consumer,2025-10-27 03:33:00,99.0,45.6,Web,Active,South Link,South,Dispatch,78.0,0.0,0.0,,1.0,33.9,1,0,1,1.0012626262626263,1
O00071,C0109,Medical,2024-08-31 22:15:00,1,North,South,Low,157.58,Phone,0,DL00154,D018,V110,H08,2024-09-01 00:47:00,2024-09-01 02:07:26.317027,Failed,7.04,1.0,0.0,4.2,5.23,78,North,Consumer,2025-10-30 11:51:00,52.7,25.4,App,Dormant,Midtown Relay,Central,Charging,63.0,1.0,18.13,10.0,0.0,,1,1,0,0.7428977272727273,1
O00072,C0060,Medical,2024-01-07 16:44:00,2,West,Riverside,Medium,7.32,App,0,,,,,,,,,,,,,52,Central,Consumer,2024-10-15 00:09:00,85.2,83.5,App,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00073,C0331,Passenger,2025-03-31 04:59:00,4,Ctr,South,High,30.82,App,0,DL00784,D095,V039,H05,2025-03-31 05:10:00,2025-04-01 01:01:35.158033,Delayed,5.24,0.0,1.0,2.29,13.26,58,Riverside,Consumer,2025-02-26 12:26:00,52.0,34.8,App,Active,Central Core,Central,Control,88.0,1.0,0.0,12.0,0.0,,0,1,0,2.530534351145038,1
O00074,C0644,Parcel,2025-10-18 11:44:00,6,Riverside,Riverside,Critical,20.6,App,0,DL00757,D135,V002,H06,2025-10-18 14:03:00,2025-10-18 21:07:10.495229,Delayed,12.69,1.0,1.0,5.0,6.5,46,Riverside,Consumer,2024-10-28 10:21:00,51.1,64.4,App,Active,Airport Hub,Airport,Dispatch,71.0,0.0,0.0,,0.0,,0,0,0,0.5122143420015761,0
